===== Patch 3 =====
2018-06-04,0.2266,0.238,0.224,0.235
2018-06-05,0.235,0.240,0.230,0.237
2018-06-06,0.237,0.242,0.233,0.239
2018-06-07,0.239,0.245,0.235,0.243
2018-06-08,0.243,0.248,0.240,0.246
2018-06-09,0.246,0.250,0.242,0.248
2018-06-10,0.248,0.252,0.245,0.250
2018-06-11,0.250,0.255,0.247,0.253
2018-06-12,0.253,0.258,0.250,0.256
2018-06-13,0.256,0.260,0.252,0.258
2018-06-14,0.258,0.263,0.255,0.261
2018-06-15,0.261,0.267,0.258,0.265
2018-06-16,0.265,0.270,0.262,0.268
2018-06-17,0.268,0.273,0.265,0.271
2018-06-18,0.271,0.275,0.268,0.273
2018-06-19,0.273,0.278,0.270,0.276
