===== Patch 3 =====
2018-06-04,0.2266,0.238,0.224,0.235
2018-06-05,0.235,0.240,0.230,0.237
2018-06-06,0.237,0.245,0.235,0.243
2018-06-07,0.243,0.250,0.240,0.248
2018-06-08,0.248,0.255,0.245,0.252
2018-06-09,0.252,0.260,0.250,0.258
2018-06-10,0.258,0.265,0.255,0.262
2018-06-11,0.262,0.270,0.260,0.268
2018-06-12,0.268,0.275,0.265,0.273
2018-06-13,0.273,0.280,0.270,0.278
2018-06-14,0.278,0.285,0.275,0.282
2018-06-15,0.282,0.290,0.280,0.288
2018-06-16,0.288,0.295,0.285,0.292
2018-06-17,0.292,0.300,0.290,0.298
2018-06-18,0.298,0.305,0.295,0.302
2018-06-19,0.302,0.310,0.300,0.308

===== Patch 4 =====
2018-06-20,0.308,0.315,0.305,0.312
2018-06-21,0.312,0.320,0.310,0.318
2018-06-22,0.318,0.325,0.315,0.322
2018-06-23,0.322,0.330,0.320,0.328
2018-06-24,0.328,0.335,0.325,0.332
2018-06-25,0.332,0.340,0.330,0.338
2018-06-26,0.338,0.345,0.335,0.342
2018-06-27,0.342,0.350,0.340,0.348
2018-06-28,0.348,0.355,0.345,0.352
2018-06-29,0.352,0.360,0.350,0.358
2018-06-30,0.358,0.365,0.355,0.362
2018-07-01,0.362,0.370,0.360,0.368
2018-07-02,0.368,0.375,0.365,0.372
2018-07-03,0.372,0.380,0.370,0.378
2018-07-04,0.378,0.385,0.375,0.382
2018-07-05,0.382,0.390,0.380,0.388
